127.0.0.1 - - [05/Aug/2015:17:13:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:13:58 +0530] "GET /JspDemo/Example1.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:14:26 +0530] "GET /JspDemo/Example1.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:14:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:14:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:14:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:14:35 +0530] "GET /JspDemo/Example2.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:15:04 +0530] "GET /JspDemo/Example2.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [05/Aug/2015:17:15:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
